Kolumna1,id_ucznia,wersja_ankiety,obserwacja,zdolny_u,c_nauki,nr_klasy,nr_ucznia,plec,studia_m,studia_t,praca_m,zawód_matki,praca_o,zawód_ojciec,ocena_matematyka,ocena_jêzyk_polski,ocena_przyroda,zawód_u,klasyfikacja_z,p_12_4,p_13_a_2_4,p_13_b_2_4,p_13_c_2_4,p_13_d_2_4,p_13_e_4,p_13_f_4,p_13_g_4,p_13_h_2_4,p_13_i_1_2_4,p_13_j_2_4,p_13_k_1_2_4,p_14_a_4,p_14_b_1_2_4,p_15_a_2_4,p_15_b_2_4,p_16_2_4,p_17_a_4,p_17_b_4,p_17_c_4,p_17_d_4,p_17_e_4,p_17_f_4,p_18_a_4,p_18_b_4,p_18_c_4,p_18_d_4,p_18_e_4,p_18_f_4,p_19_a_1_2_4,p_19_b_4,p_19_c_4,p_19_d_4,p_19_e_4,p_19_f_4,p_19_g_4,p_19_h_4,p_19_i_2_4,p_19_j_2_4,p_19_k_4,p_20_a,p_20_b,p_20_c,p_20_d,p_20_e,p_20_f,k_studia_m,k_studia_t,k_ocena_m,k_ocena_jp,k_ocena_prz,k_p_12_4,k_p_14_a_4,k_p_15_a_2_4,k_p_16_2_4,k_p_17_a_4,k_p_17_b_4,k_p_17_c_4,k_p_17_d_4,k_p_17_e_4,k_p_17_f_4,k_p_18_a_4,k_p_18_b_4,k_p_18_c_4,k_p_18_d_4,k_p_18_e_4,k_p_18_f_4,k_p_19_b_4,k_p_19_c_4,k_p_19_d_4,k_p_19_g_4,k_p_19_h_4,k_p_19_k_4,k_sum_4
77,701,czwarta wersja,nie,nie,Centrum Nauki Kopernik,7,1,dziewczyna,nie,nie,nie,,nie,,2,4,4,nie wie,nie wiem,nigdy albo rzadko (raz w roku),nie,nie,nie,nie,nie,nie,nie,nie,,tak,nie,nie wiem,,nie,,du¿o (od 20 do 50),nigdy albo rzadko (raz w roku),kilka razy w roku,raz lub dwa razy w miesi¹cu,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),kilka razy w roku,kilka razy w roku,raz lub dwa razy w miesi¹cu,nigdy albo rzadko (raz w roku),kilka razy w roku,raz w miesi¹cu,raczej siê nie zgadzam,NA,ani siê zgadzam ani siê nie zgadzam,raczej siê zgadzam,ani siê zgadzam ani siê nie zgadzam,ani siê zgadzam ani siê nie zgadzam,raczej siê nie zgadzam,ani siê zgadzam ani siê nie zgadzam,ani siê zgadzam ani siê nie zgadzam,ani siê zgadzam ani siê nie zgadzam,ani siê zgadzam ani siê nie zgadzam,nie,nie,nie,nie,nie,tak,0,0,1,3,3,0,0,0,2,0,1,2,0,0,0,1,1,2,0,1,2,1,2,3,1,2,2,30
78,702,czwarta wersja,tak,nie,Centrum Nauki Kopernik,7,2,ch³opak,tak,tak,tak,doradca rolniczy,tak,wykonuje okna dachowe,6,4,3,policjant lub Youtuber,ca³kowicie niezwi¹zany z science,raz w tygodniu,nie,nie,tak,nie,nie,nie,nie,nie,,nie,nie,nie wiem,,nie,,du¿o (od 20 do 50),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),kilka razy w roku,nigdy albo rzadko (raz w roku),kilka razy w roku,nigdy albo rzadko (raz w roku),raz w tygodniu,raz lub dwa razy w miesi¹cu,raz lub dwa razy w miesi¹cu,nigdy albo rzadko (raz w roku),raz lub dwa razy w miesi¹cu,nigdy albo rzadko (raz w roku),raczej siê zgadzam,raczej siê zgadzam,ani siê zgadzam ani siê nie zgadzam,zdecydowanie siê zgadzam,zdecydowanie siê zgadzam,raczej siê nie zgadzam,zdecydowanie siê zgadzam,zdecydowanie siê zgadzam,raczej siê zgadzam,zdecydowanie siê zgadzam,zdecydowanie siê zgadzam,tak,tak,nie,nie,nie,nie,4,4,5,3,2,3,0,0,2,0,0,1,0,1,0,3,2,2,0,2,0,2,2,4,4,4,4,54
79,704,czwarta wersja,tak,nie,Centrum Nauki Kopernik,7,4,ch³opak,nie wiem,nie wiem,nie,,tak,w firmie produkuj¹cej ok,6,4,5,"informatyk, twÃ³rca gier",dualizm odpowiedzi,nigdy albo rzadko (raz w roku),nie,nie,tak,nie,nie,nie,nie,nie,,nie,nie,nie,,nie,,bardzo du¿o (wiêcej ni¿ 50 do 100),raz w tygodniu,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),kilka razy w roku,kilka razy w roku,kilka razy w roku,prawie codziennie,prawie codziennie,prawie codziennie,prawie codziennie,raz w tygodniu,prawie codziennie,raczej siê zgadzam,zdecydowanie siê zgadzam,raczej siê zgadzam,ani siê zgadzam ani siê nie zgadzam,raczej siê zgadzam,raczej siê zgadzam,raczej siê zgadzam,raczej siê zgadzam,raczej siê zgadzam,zdecydowanie siê zgadzam,raczej siê zgadzam,nie,tak,tak,nie,nie,nie,0,0,5,3,4,0,0,0,3,3,0,0,1,1,1,4,4,4,4,3,4,3,3,2,3,3,3,61
80,706,czwarta wersja,tak,nie,Centrum Nauki Kopernik,7,6,ch³opak,tak,nie wiem,tak,sekretarka,tak,nie wie,6,5,5,adwokat,ca³kowicie niezwi¹zany z science,raz lub dwa razy w miesi¹cu,nie,nie,nie,tak,nie,nie,nie,nie,,nie,nie,nie,,nie,,du¿o (od 20 do 50),nigdy albo rzadko (raz w roku),kilka razy w roku,nigdy albo rzadko (raz w roku),kilka razy w roku,kilka razy w roku,nigdy albo rzadko (raz w roku),raz w tygodniu,raz w tygodniu,raz lub dwa razy w miesi¹cu,raz lub dwa razy w miesi¹cu,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),zdecydowanie siê zgadzam,zdecydowanie siê zgadzam,raczej siê zgadzam,zdecydowanie siê zgadzam,zdecydowanie siê zgadzam,raczej siê zgadzam,ani siê zgadzam ani siê nie zgadzam,raczej siê zgadzam,raczej siê zgadzam,zdecydowanie siê zgadzam,raczej siê zgadzam,nie,tak,nie,nie,nie,nie,4,0,5,4,4,2,0,0,2,0,1,0,1,1,0,3,3,2,2,0,0,4,3,4,2,3,3,53
81,707,czwarta wersja,tak,nie,Centrum Nauki Kopernik,7,7,dziewczyna,tak,nie,tak,pracownik spo³eczny,tak,operator koparki,4,4,4,prowadziÄ‡ stadninê koni,ca³kowicie niezwi¹zany z science,raz lub dwa razy w miesi¹cu,nie,nie,tak,tak,nie,tak,tak,nie,,nie,nie,nie,,nie,,ca³e mnóstwo (wiêcej ni¿ 100),raz w tygodniu,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),kilka razy w roku,kilka razy w roku,kilka razy w roku,raz lub dwa razy w miesi¹cu,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),raz lub dwa razy w miesi¹cu,nigdy albo rzadko (raz w roku),raczej siê zgadzam,raczej siê zgadzam,zdecydowanie siê zgadzam,ani siê zgadzam ani siê nie zgadzam,raczej siê nie zgadzam,zdecydowanie siê zgadzam,raczej siê zgadzam,zdecydowanie siê zgadzam,raczej siê zgadzam,raczej siê zgadzam,raczej siê zgadzam,tak,nie,nie,nie,nie,nie,4,0,3,3,3,2,0,0,4,3,0,0,1,1,1,2,0,0,0,2,0,4,4,2,3,4,3,49
82,708,czwarta wersja,tak,nie,Centrum Nauki Kopernik,7,8,ch³opak,nie wiem,nie wiem,tak,sprzedawca,tak,spawacz,3,3,3,nie wie,nie wiem,prawie codziennie,tak,nie,tak,nie,nie,nie,nie,nie,,nie,nie,nie,,nie,,kilka (mniej niÅ¼ 20),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),kilka razy w roku,nigdy albo rzadko (raz w roku),prawie codziennie,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),raczej siê nie zgadzam,ani siê zgadzam ani siê nie zgadzam,raczej siê nie zgadzam,raczej siê nie zgadzam,ani siê zgadzam ani siê nie zgadzam,ani siê zgadzam ani siê nie zgadzam,raczej siê zgadzam,ani siê zgadzam ani siê nie zgadzam,raczej siê zgadzam,raczej siê zgadzam,raczej siê zgadzam,nie,tak,tak,nie,nie,nie,0,0,2,2,2,4,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,3,1,1,3,2,3,29
83,709,czwarta wersja,tak,nie,Centrum Nauki Kopernik,7,9,ch³opak,tak,tak,tak,sprzedawca,tak,w kanalizacji,4,4,4,nie wie,nie wiem,nigdy albo rzadko (raz w roku),nie,nie,nie,nie,nie,nie,nie,nie,,tak,nie,nie,,nie,,du¿o (od 20 do 50),prawie codziennie,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),kilka razy w roku,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),kilka razy w roku,kilka razy w roku,prawie codziennie,prawie codziennie,nigdy albo rzadko (raz w roku),raczej siê nie zgadzam,raczej siê nie zgadzam,ani siê zgadzam ani siê nie zgadzam,ani siê zgadzam ani siê nie zgadzam,ani siê zgadzam ani siê nie zgadzam,ani siê zgadzam ani siê nie zgadzam,zdecydowanie siê zgadzam,zdecydowanie siê zgadzam,raczej siê zgadzam,zdecydowanie siê zgadzam,ani siê zgadzam ani siê nie zgadzam,nie,nie,nie,tak,tak,tak,4,4,3,3,3,0,0,0,2,4,0,0,1,0,0,0,1,1,4,4,0,4,2,2,4,4,2,52
84,710,czwarta wersja,tak,nie,Centrum Nauki Kopernik,7,10,dziewczyna,nie wiem,nie wiem,tak,sprzedawca,tak,w kanalizacji,4,5,4,piosenkara,ca³kowicie niezwi¹zany z science,kilka razy w roku,tak,nie,nie,nie,nie,nie,nie,nie,,nie,nie,nie,,nie,,kilka (mniej niÅ¼ 20),kilka razy w roku,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),raz w tygodniu,kilka razy w roku,raz lub dwa razy w miesi¹cu,raz w tygodniu,prawie codziennie,nigdy albo rzadko (raz w roku),kilka razy w roku,raz lub dwa razy w miesi¹cu,nigdy albo rzadko (raz w roku),raczej siê zgadzam,ani siê zgadzam ani siê nie zgadzam,zdecydowanie siê zgadzam,zdecydowanie siê zgadzam,zdecydowanie siê zgadzam,raczej siê zgadzam,raczej siê zgadzam,ani siê zgadzam ani siê nie zgadzam,raczej siê zgadzam,raczej siê nie zgadzam,ani siê zgadzam ani siê nie zgadzam,nie,nie,tak,nie,nie,nie,0,0,3,4,3,1,0,0,1,1,0,0,3,1,2,3,4,0,1,2,0,4,4,4,3,2,2,48
85,711,czwarta wersja,nie,nie,Centrum Nauki Kopernik,7,11,ch³opak,tak,tak,nie,,tak,budowlaniec,1,3,2,"Youtuber, tester gier, DJ",ca³kowicie niezwi¹zany z science,kilka razy w roku,tak,nie,nie,nie,nie,nie,nie,nie,,nie,nie,nie,,nie,,kilka (mniej niÅ¼ 20),raz w tygodniu,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),kilka razy w roku,raz lub dwa razy w miesi¹cu,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),kilka razy w roku,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),raz w tygodniu,raczej siê zgadzam,NA,ani siê zgadzam ani siê nie zgadzam,ani siê zgadzam ani siê nie zgadzam,raczej siê nie zgadzam,raczej siê nie zgadzam,raczej siê zgadzam,ani siê zgadzam ani siê nie zgadzam,ani siê zgadzam ani siê nie zgadzam,raczej siê zgadzam,raczej siê zgadzam,nie,nie,nie,tak,nie,nie,4,4,0,2,1,1,0,0,1,3,0,0,1,2,0,0,1,0,0,0,3,0,2,2,3,2,3,35
87,713,czwarta wersja,nie,nie,Centrum Nauki Kopernik,7,13,dziewczyna,nie wiem,nie wiem,tak,dietetyk,tak,nieczytelne pismo,2,2,2,cukiernik,ca³kowicie niezwi¹zany z science,kilka razy w roku,nie,nie,nie,tak,nie,nie,nie,nie,,nie,nie,nie,,nie,,ca³e mnóstwo (wiêcej ni¿ 100),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),kilka razy w roku,nigdy albo rzadko (raz w roku),kilka razy w roku,raz lub dwa razy w miesi¹cu,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),raczej siê zgadzam,NA,zdecydowanie siê zgadzam,zdecydowanie siê zgadzam,raczej siê zgadzam,ani siê zgadzam ani siê nie zgadzam,ani siê zgadzam ani siê nie zgadzam,raczej siê zgadzam,ani siê zgadzam ani siê nie zgadzam,raczej siê zgadzam,raczej siê zgadzam,nie,nie,tak,nie,nie,nie,0,0,1,1,1,1,0,0,4,0,0,0,0,1,0,1,2,0,0,0,0,4,4,4,2,3,3,32
